date,symbol,pnl_usd,cumulative_usd
2022-05-20,XLV,-116.64,5832.16
2022-05-20,XLU,-65.45,5766.71
2022-05-24,XLC,55.83,5822.54
2022-06-09,QQQ,72.67,5895.21
2022-07-05,XLB,18.07,5913.28
2022-07-25,XLE,14.16,5927.44
2022-08-04,GLD,116.26,6043.7
2022-08-05,VNQ,-156.44,5887.26
2022-08-05,XLU,-166.12,5721.14
2022-08-11,TLT,31.88,5753.02
2022-08-12,XLU,16.26,5769.28
2022-08-17,GDX,16.8,5786.08
2022-08-19,XLC,68.86,5854.94
2022-08-19,DIA,-382.09,5472.85
2022-08-19,QQQ,-381.41,5091.44
2022-08-19,XLK,-226.29,4865.15
2022-08-19,SLV,10.66,4875.81
2022-08-26,EFA,47.85,4923.66
2022-08-30,XLB,26.11,4949.77
2022-08-30,XLC,44.53,4994.3
2022-08-31,IWM,54.45,5048.75
2022-09-01,KRE,22.4,5071.15
2022-09-09,XLP,39.6,5110.75
2022-09-09,XLV,144.26,5255.01
2022-09-13,FXI,7.51,5262.52
2022-09-15,EWZ,13.51,5276.03
2022-09-15,GLD,58.24,5334.27
2022-09-16,XBI,-226.86,5107.41
2022-09-16,XLI,-360.85,4746.56
2022-09-20,EEM,14.83,4761.39
2022-10-06,XLE,12.81,4774.2
2022-10-07,VNQ,19.75,4793.95
2022-10-07,XLRE,18.97,4812.92
2022-11-04,XBI,51.39,4864.31
2022-11-10,XLU,45.1,4909.41
2022-11-18,SLV,-6.83,4902.58
2022-11-18,EFA,-412.69,4489.89
2022-11-18,XLF,-82.05,4407.84
2022-11-18,XLB,-167.38,4240.46
2022-11-18,IWM,33.59,4274.05
2022-12-13,EWZ,9.88,4283.93
2022-12-19,XLC,48.96,4332.89
2022-12-19,XLP,18.8,4351.69
2022-12-20,TLT,25.79,4377.48
2022-12-21,XLE,11.03,4388.51
2022-12-28,EEM,21.63,4410.14
2023-01-03,EFA,63.54,4473.68
2023-01-04,XLI,93.96,4567.64
2023-01-06,XLB,32.88,4600.52
2023-01-09,XLU,34.53,4635.05
2023-01-09,SLV,15.41,4650.46
2023-01-09,XBI,101.79,4752.25
2023-01-09,XLF,18.15,4770.4
2023-01-10,SMH,116.78,4887.18
2023-01-13,XLV,111.37,4998.55
2023-01-17,GDX,55.52,5054.07
2023-01-20,GLD,-217.51,4836.56
2023-02-03,FXI,6.97,4843.53
2023-02-03,AGG,15.6,4859.13
2023-02-03,GLD,65.31,4924.44
2023-02-06,HYG,34.67,4959.11
2023-02-17,KRE,-81.57,4877.54
2023-02-17,XLY,-143.38,4734.16
2023-02-17,VNQ,19.04,4753.2
2023-02-21,XLC,34.55,4787.75
2023-02-21,SMH,59.63,4847.38
2023-02-21,SPY,63.56,4910.94
2023-02-22,XLK,80.05,4990.99
2023-02-24,EWZ,8.74,4999.73
2023-02-27,XLI,111.18,5110.91
