year,entry_date,exit_date,symbol,structure,exit,holding_days,pop,entry_iv,credit_usd,max_risk_usd,pnl_usd,hold_to_expiry_pnl_usd
2023,2023-08-30,2023-09-05,GDX,short_call_spread,target,6,0.746983,0.240471,38.7,161.3,16.36,34.7
2023,2023-09-07,2023-10-17,KRE,short_put_spread,target,40,0.716569,0.297041,48.67,151.33,38.38,-145.33
2023,2023-09-18,2023-10-20,AGG,iron_condor,expiry,32,0.597361,0.070144,66.89,133.11,-141.11,-141.11
2023,2023-09-18,2023-10-11,EEM,iron_condor,target,23,0.629169,0.148261,54.29,145.71,27.69,-74.71
2023,2023-09-18,2023-10-20,EFA,iron_condor,expiry,32,0.630455,0.133988,104.7,395.3,-246.3,-246.3
2023,2023-09-18,2023-10-10,FXI,iron_condor,target,22,0.537598,0.246738,45.05,54.95,18.21,-59.95
2023,2023-09-18,2023-09-25,GLD,short_call_spread,target,7,0.73993,0.083166,83.84,416.16,47.38,-79.16
2023,2023-09-18,2023-10-20,HYG,iron_condor,expiry,32,0.660395,0.066854,41.83,158.17,-166.17,-166.17
2023,2023-09-18,2023-10-20,IEF,iron_condor,expiry,32,0.640992,0.081156,56.05,143.95,-151.95,-151.95
2023,2023-09-18,2023-10-20,IWM,short_put_spread,expiry,32,0.738916,0.172059,107.06,392.94,-396.94,-396.94
2023,2023-09-18,2023-10-20,LQD,iron_condor,expiry,32,0.664885,0.095775,87.0,413.0,-354.0,-354.0
2023,2023-09-18,2023-10-20,XBI,iron_condor,expiry,32,0.62219,0.195621,141.42,358.58,-366.58,-366.58
2023,2023-09-18,2023-10-20,XLB,iron_condor,expiry,32,0.611286,0.150494,60.79,139.21,-147.21,-147.21
2023,2023-09-18,2023-10-17,XLE,iron_condor,target,29,0.556834,0.181264,42.76,57.24,25.89,34.76
2023,2023-09-18,2023-10-20,XLF,iron_condor,expiry,32,0.708405,0.109404,20.05,79.95,-87.95,-87.95
2023,2023-09-18,2023-10-20,XLP,iron_condor,expiry,32,0.545396,0.116681,86.74,113.26,-121.26,-121.26
2023,2023-09-18,2023-09-21,XLU,short_call_spread,target,3,0.757783,0.146893,26.39,173.61,9.21,22.39
2023,2023-09-18,2023-10-10,XLV,iron_condor,target,22,0.600089,0.108679,157.59,342.41,90.56,-44.41
2023,2023-09-18,2023-10-20,XLY,iron_condor,expiry,32,0.602441,0.21956,167.04,332.96,-340.96,-340.96
2023,2023-09-19,2023-10-11,XLI,iron_condor,target,22,0.600287,0.137879,156.93,343.07,83.25,-281.07
2023,2023-09-19,2023-10-20,XLRE,iron_condor,expiry,31,0.631314,0.162333,53.3,146.7,-154.7,-154.7
2023,2023-09-20,2023-09-21,VNQ,short_call_spread,target,1,0.737525,0.158668,46.14,153.86,22.5,42.14
2023,2023-09-20,2023-10-31,XLK,iron_condor,target,41,0.557989,0.236375,207.94,292.06,110.21,-140.06
2023,2023-09-21,2023-10-03,EWZ,short_call_spread,target,12,0.757279,0.34702,22.39,77.61,10.39,18.39
2023,2023-09-25,2023-11-08,TLT,short_put_spread,target,44,0.692763,0.233624,57.31,142.69,37.46,53.31
2023,2023-09-27,2023-10-10,QQQ,short_put_spread,target,13,0.68567,0.226275,150.34,349.66,79.28,146.34
2023,2023-09-27,2023-10-16,SPY,short_put_spread,target,19,0.698555,0.1822,143.48,356.52,72.91,139.48
